,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
0,Nicolas VOUILLOZ,Nicolas VOUILLOZ,5:57.981,Men,French,Germany,23rd Sep 1995,Kirchzarten,France,0,5.96635,Kirchzarten23rd Sep 1995,0.0,1,0
2,Mike KING (pro),Mike KING (pro),6:07.083,Men,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.11805,Kirchzarten23rd Sep 1995,2.542593042647523,1,0
3,Tomas MISSER,Tomas MISSER,6:10.384,Men,Spanish,Germany,23rd Sep 1995,Kirchzarten,Spain,0,6.173066666666666,Kirchzarten23rd Sep 1995,3.464709020869816,0,0
4,Scott SHARPLES,Scott SHARPLES,6:11.405,Men,Australian,Germany,23rd Sep 1995,Kirchzarten,Australia,0,6.190083333333333,Kirchzarten23rd Sep 1995,3.7499196884750674,0,0
5,Christian TAILLEFER,Christian TAILLEFER,6:12.916,Men,French,Germany,23rd Sep 1995,Kirchzarten,France,0,6.2152666666666665,Kirchzarten23rd Sep 1995,4.172009128976106,1,0
8,Jürgen BENEKE,Jürgen BENEKE,6:13.699,Men,German,Germany,23rd Sep 1995,Kirchzarten,Germany,1,6.228316666666666,Kirchzarten23rd Sep 1995,4.390735821174863,0,0
9,Rob WARNER,Rob WARNER,6:13.7810,Men,British,Germany,23rd Sep 1995,Kirchzarten,UK,0,6.229683333333333,Kirchzarten23rd Sep 1995,4.413642064802303,1,0
10,Corrado HERIN,Corrado HERIN,6:14.4411,Men,Italian,Germany,23rd Sep 1995,Kirchzarten,Italy,0,6.240685,Kirchzarten23rd Sep 1995,4.598037326003324,0,0
11,Myles ROCKWELL,Myles ROCKWELL,6:16.1412,Men,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.26902,Kirchzarten23rd Sep 1995,5.072950799064757,0,0
12,Steve PEAT,Steve PEAT,6:16.8313,Men,British,Germany,23rd Sep 1995,Kirchzarten,UK,0,6.280521666666667,Kirchzarten23rd Sep 1995,5.265726393300207,0,0
15,Michael RONNING,Michael RONNING,6:18.6416,Men,Australian,Germany,23rd Sep 1995,Kirchzarten,Australia,0,6.310693333333333,Kirchzarten23rd Sep 1995,5.771423623041438,0,0
17,Brian LOPES,Brian LOPES,6:18.9118,Men,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.315196666666667,Kirchzarten23rd Sep 1995,5.846902489238248,0,0
19,Stephane JANY,Stephane JANY,6:19.4920,Men,French,Germany,23rd Sep 1995,Kirchzarten,France,0,6.324866666666667,Kirchzarten23rd Sep 1995,6.008978130124221,0,0
25,Gianluca BONANOMI,Gianluca BONANOMI,6:21.7326,Men,Italian,Germany,23rd Sep 1995,Kirchzarten,Italy,0,6.36221,Kirchzarten23rd Sep 1995,6.634877270022699,0,1
26,Bruno ZANCHI,Bruno ZANCHI,6:21.7927,Men,Italian,Germany,23rd Sep 1995,Kirchzarten,Italy,0,6.3632116666666665,Kirchzarten23rd Sep 1995,6.6516658705350284,1,0
29,John TOMAC,John TOMAC,6:22.4530,Men,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.374216666666666,Kirchzarten23rd Sep 1995,6.836117000622921,0,0
31,Bas DE BEVER,Bas DE BEVER,6:23.5832,Men,Dutch,Germany,23rd Sep 1995,Kirchzarten,Netherlands,0,6.3930533333333335,Kirchzarten23rd Sep 1995,7.151832080473541,0,0
33,Wilfred VAN DE HATERD,Wilfred VAN DE HATERD,6:24.5534,Men,Dutch,Germany,23rd Sep 1995,Kirchzarten,Netherlands,0,6.409223333333333,Kirchzarten23rd Sep 1995,7.422852050807149,1,0
34,Guillaume KOCH,Guillaume KOCH,6:24.8235,Men,French,Germany,23rd Sep 1995,Kirchzarten,France,0,6.413725,Kirchzarten23rd Sep 1995,7.498302982560534,0,1
36,Ivan OULEGO MORENO,Ivan OULEGO MORENO,6:25.2737,Men,Spanish,Germany,23rd Sep 1995,Kirchzarten,Spain,0,6.4212283333333335,Kirchzarten23rd Sep 1995,7.624063846963947,0,0
