rider_country,rider_country_new
French,France
Spanish,Spain
Australian,Australia
Norwegian,Norway
German,Germany
British,UK
Italian,Italy
American,USA
Swiss,Switzerland
Swedish,Sweden
Dutch,Netherlands
New Zealand,New Zealand
Belgian,Belgium
Canadian,Canada 
Japanese,Japan
Argentinian,Argentina
Czech,Czech Republic
Slovenian,Slovenia
Austrian,Austria
Irish,UK
South African,South Africa
Brazilian,Brazil
Sammarinese,Republic of San Marino
Mexican,Mexico
Luxembourger,Luxembourg
Chilean,Chile
Portuguese,Portugal
Croatian,Croatia
Colombian,Columbia
Guatemalan,Guatamela
Bolivian,Bolivia
Danish,Denmark
South Korean,South Korea
Finnish,Finland
Taiwanese,Taiwan
Slovakian,Slovenia
Hungarian,Hungry
Hongkonger,Hong Kong
Thai,Thailand
Ecuadorian,Ecuador
Latvian,Latvia
Russian,Russia
Venezuelan,Venezula
Polish,Poland
Bulgarian,Bulgaria
Barbadian,Barbados
Estonian,Estonia
Romanian,Romania
Liechtensteiner,Liechte
Serbian,Serbian
Israeli,Israeli
Ukrainian,Ukraini
Peruvian,Peruvia
Icelandic,Iceland
Puerto Rican,Puerto 
Greek,Gree
Andorran,Andorra
Scottish,UK
Welsh,UK
Indonesian,Indones
Iranian,Iranian
Mauritanian,Maurita
Turkish,Turkey
View ATO,NA
Costa Rican,Costa Rica
Kazakhstani,Kazakhs
Salvadoran,Salvado
Cypriot,Cypriot
Moroccan,Morocca
Albanian,Albania
Namibian,Namibia
Lithuanian,Lithuan
