Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
UCI - DHI World Championships '95,23rd Sep 1995,UCI - DHI World Championships '95,"Kirchzarten, Germany",240,https://www.rootsandrain.com/event1459/1995-sep-23-uci-dhi-world-championships-95-kirchzarten/,Kirchzarten, Germany
1995 Grundig UCI World Cup DH #6,1st Jan 1995,1995 Grundig UCI World Cup DH #6,"Kaprun, Austria",-,https://www.rootsandrain.com/event9541/1995-jan-1-grundig-uci-world-cup-dh-6-kaprun/,Kaprun, Austria
1995 Grundig UCI World Cup DH #5,1st Jan 1995,1995 Grundig UCI World Cup DH #5,"Big Bear Lake, CA, USA",-,https://www.rootsandrain.com/event9540/1995-jan-1-grundig-uci-world-cup-dh-5-big-bear-lake-ca/,Big Bear Lake, USA
1995 Grundig UCI World Cup DH #4,1st Jan 1995,1995 Grundig UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",-,https://www.rootsandrain.com/event9539/1995-jan-1-grundig-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
1995 Grundig UCI World Cup DH #3,1st Jan 1995,1995 Grundig UCI World Cup DH #3,"Mt Snow, VT, USA",-,https://www.rootsandrain.com/event9538/1995-jan-1-grundig-uci-world-cup-dh-3-mt-snow-vt/,Mt Snow, USA
1995 Grundig UCI World Cup DH #2,1st Jan 1995,1995 Grundig UCI World Cup DH #2,"Åre, Sweden",-,https://www.rootsandrain.com/event9537/1995-jan-1-grundig-uci-world-cup-dh-2-are/,Åre, Sweden
1995 Grundig UCI World Cup DH #1,1st Jan 1995,1995 Grundig UCI World Cup DH #1,"Cap d'Ail, France",-,https://www.rootsandrain.com/event9536/1995-jan-1-grundig-uci-world-cup-dh-1-cap-dail/,Cap d'Ail, France
UCI - DHI World Championships '96,22nd Sep 1996,UCI - DHI World Championships '96,"Cairns, QLD, Australia",159,https://www.rootsandrain.com/event1445/1996-sep-22-uci-dhi-world-championships-96-cairns-qld/,Cairns, Australia
1996 Grundig UCI World Cup DH #6,7th Sep 1996,1996 Grundig UCI World Cup DH #6,"Hawaii, USA",20,https://www.rootsandrain.com/event9527/1996-sep-7-grundig-uci-world-cup-dh-6-hawaii/,Hawaii, USA
1996 Grundig UCI World Cup DH #5,15th Aug 1996,1996 Grundig UCI World Cup DH #5,"Kaprun, Austria",10,https://www.rootsandrain.com/event9526/1996-aug-15-grundig-uci-world-cup-dh-5-kaprun/,Kaprun, Austria
1996 Grundig UCI World Cup DH #4,10th Aug 1996,1996 Grundig UCI World Cup DH #4,"Les Gets, France",20,https://www.rootsandrain.com/event9525/1996-aug-10-grundig-uci-world-cup-dh-4-les-gets/,Les Gets, France
1996 Grundig UCI World Cup DH #3,15th Jun 1996,1996 Grundig UCI World Cup DH #3,"Mont-Sainte-Anne, QC, Canada",35,https://www.rootsandrain.com/event9524/1996-jun-15-grundig-uci-world-cup-dh-3-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
1996 Grundig UCI World Cup DH #2,19th May 1996,1996 Grundig UCI World Cup DH #2,"Nevegal, Italy",20,https://www.rootsandrain.com/event9523/1996-may-19-grundig-uci-world-cup-dh-2-nevegal/,Nevegal, Italy
1996 Grundig UCI World Cup DH #1,12th May 1996,1996 Grundig UCI World Cup DH #1,"Panticosa, Spain",20,https://www.rootsandrain.com/event9522/1996-may-12-grundig-uci-world-cup-dh-1-panticosa/,Panticosa, Spain
UCI - DHI World Championships '97,21st Sep 1997,UCI - DHI World Championships '97,"Château d'Oex, Switzerland",377,https://www.rootsandrain.com/event1446/1997-sep-21-uci-dhi-world-championships-97-chateau-doex/,Château d'Oex, Switzerland
1997 Grundig UCI World Cup DH #6,15th Aug 1997,1997 Grundig UCI World Cup DH #6,"Kaprun, Austria",95,https://www.rootsandrain.com/event861/1997-aug-15-grundig-uci-world-cup-dh-6-kaprun/,Kaprun, Austria
1997 Grundig UCI World Cup DH #5,6th Jul 1997,1997 Grundig UCI World Cup DH #5,"Massanutten, VA, USA",95,https://www.rootsandrain.com/event860/1997-jul-6-grundig-uci-world-cup-dh-5-massanutten-va/,Massanutten, USA
1997 Grundig UCI World Cup DH #4,29th Jun 1997,1997 Grundig UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",95,https://www.rootsandrain.com/event859/1997-jun-29-grundig-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
1997 Grundig UCI World Cup DH #3,1st Jun 1997,1997 Grundig UCI World Cup DH #3,"Sierra Nevada, Spain",95,https://www.rootsandrain.com/event858/1997-jun-1-grundig-uci-world-cup-dh-3-sierra-nevada/,Sierra Nevada, Spain
1997 Grundig UCI World Cup DH #2,25th May 1997,1997 Grundig UCI World Cup DH #2,"Nevegal, Italy",95,https://www.rootsandrain.com/event857/1997-may-25-grundig-uci-world-cup-dh-2-nevegal/,Nevegal, Italy
1997 Grundig UCI World Cup DH #1,18th May 1997,1997 Grundig UCI World Cup DH #1,"Stellenbosch, WC, South Africa",88,https://www.rootsandrain.com/event856/1997-may-18-grundig-uci-world-cup-dh-1-stellenbosch-wc/,Stellenbosch, South Africa
UCI - DHI World Championships '98,20th Sep 1998,UCI - DHI World Championships '98,"Mont-Sainte-Anne, QC, Canada",341,https://www.rootsandrain.com/event1447/1998-sep-20-uci-dhi-world-championships-98-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
