Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Nicolas VOUILLOZ,Nicolas VOUILLOZ,5:57.981,Men,French, Germany,23rd Sep 1995,Kirchzarten
François GACHET,François GACHET,6:00.082,Men,French, Germany,23rd Sep 1995,Kirchzarten
Mike KING (pro),Mike KING (pro),6:07.083,Men,American, Germany,23rd Sep 1995,Kirchzarten
Tomas MISSER,Tomas MISSER,6:10.384,Men,Spanish, Germany,23rd Sep 1995,Kirchzarten
Scott SHARPLES,Scott SHARPLES,6:11.405,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Christian TAILLEFER,Christian TAILLEFER,6:12.916,Men,French, Germany,23rd Sep 1995,Kirchzarten
Morten JEMTEGAARD,Morten JEMTEGAARD,6:13.007,Men,Norwegian, Germany,23rd Sep 1995,Kirchzarten
Christian LEMMERZ,Christian LEMMERZ,6:13.038,Men,German, Germany,23rd Sep 1995,Kirchzarten
Jürgen BENEKE,Jürgen BENEKE,6:13.699,Men,German, Germany,23rd Sep 1995,Kirchzarten
Rob WARNER,Rob WARNER,6:13.7810,Men,British, Germany,23rd Sep 1995,Kirchzarten
Corrado HERIN,Corrado HERIN,6:14.4411,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Myles ROCKWELL,Myles ROCKWELL,6:16.1412,Men,American, Germany,23rd Sep 1995,Kirchzarten
Steve PEAT,Steve PEAT,6:16.8313,Men,British, Germany,23rd Sep 1995,Kirchzarten
Todd TANNER,Todd TANNER,6:17.8514,Men,American, Germany,23rd Sep 1995,Kirchzarten
Marc VESSAZ,Marc VESSAZ,6:17.8514,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Michael RONNING,Michael RONNING,6:18.6416,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Joe LAWWILL,Joe LAWWILL,6:18.7117,Men,American, Germany,23rd Sep 1995,Kirchzarten
Brian LOPES,Brian LOPES,6:18.9118,Men,American, Germany,23rd Sep 1995,Kirchzarten
Stefan HERRMANN,Stefan HERRMANN,6:19.0019,Men,German, Germany,23rd Sep 1995,Kirchzarten
Stephane JANY,Stephane JANY,6:19.4920,Men,French, Germany,23rd Sep 1995,Kirchzarten
Stefano MIGLIORINI,Stefano MIGLIORINI,6:20.1321,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Tommy JOHANSSON,Tommy JOHANSSON,6:20.2422,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Sébastien CHOVET,Sébastien CHOVET,6:20.2623,Men,French, Germany,23rd Sep 1995,Kirchzarten
Andrea BUGNONE,Andrea BUGNONE,6:20.5824,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Carlos BARCONS GONZALEZ,Carlos BARCONS GONZALEZ,6:20.7625,Men,Spanish, Germany,23rd Sep 1995,Kirchzarten
Gianluca BONANOMI,Gianluca BONANOMI,6:21.7326,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Bruno ZANCHI,Bruno ZANCHI,6:21.7927,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Paolo CARAMELLINO,Paolo CARAMELLINO,6:22.2128,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Toby HENDERSON,Toby HENDERSON,6:22.3629,Men,American, Germany,23rd Sep 1995,Kirchzarten
John TOMAC,John TOMAC,6:22.4530,Men,American, Germany,23rd Sep 1995,Kirchzarten
Philippe PERAKIS,Philippe PERAKIS,6:22.7631,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Bas DE BEVER,Bas DE BEVER,6:23.5832,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Marcel WALDMANN,Marcel WALDMANN,6:23.6433,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Wilfred VAN DE HATERD,Wilfred VAN DE HATERD,6:24.5534,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Guillaume KOCH,Guillaume KOCH,6:24.8235,Men,French, Germany,23rd Sep 1995,Kirchzarten
Darryn HENDERSON,Darryn HENDERSON,6:25.0036,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Ivan OULEGO MORENO,Ivan OULEGO MORENO,6:25.2737,Men,Spanish, Germany,23rd Sep 1995,Kirchzarten
Taras JADUTA,Taras JADUTA,6:25.3138,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Holger MEYER,Holger MEYER,6:26.2939,Men,German, Germany,23rd Sep 1995,Kirchzarten
Pascal CLOSSET,Pascal CLOSSET,6:26.6940,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Andrew SHANDRO,Andrew SHANDRO,6:26.9541,Men,Canadian, Germany,23rd Sep 1995,Kirchzarten
Raphael RHYNER,Raphael RHYNER,6:28.9442,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Peter STIEFL,Peter STIEFL,6:29.9643,Men,German, Germany,23rd Sep 1995,Kirchzarten
Michel JOSEPH,Michel JOSEPH,6:30.7844,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Marco PETRACCA,Marco PETRACCA,6:30.8245,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Jimmy DEATON,Jimmy DEATON,6:31.6946,Men,American, Germany,23rd Sep 1995,Kirchzarten
Chris O'DRISCOLL,Chris O'DRISCOLL,6:32.6147,Men,American, Germany,23rd Sep 1995,Kirchzarten
