"","X","rider","good_result_effect","bad_result_effect"
"1",0,"Aaron GWIN",0.431924708403946,0.0207097521499193
"2",1,"Adam BRAYTON",-0.198772993167458,-0.0870605383157617
"3",2,"Adam ROJCEK",1.64073863881656,-0.317715035624716
"4",3,"Adam VAGNER",0,0
"5",4,"Alan BEGGIN",1.52258315431617,-0.131622638849375
"6",5,"Alex BALAUD",-0.336105210682033,0.389697926534582
"7",6,"Alex BOND (elt)",-0.311824179459548,1.18720668782142
"8",7,"Alex MARIN",0,0
"9",8,"Alexander KANGAS",0,0
"10",9,"Alexandre FAYOLLE",-0.176351928017713,-0.458987979214405
"11",10,"Alia MARCELLINI",-0.165151321869302,-0.571743471189748
"12",11,"Amaury PIERRON",0.106247767561652,-0.278680296614821
"13",12,"Andre WAGENKNECHT",0.361869941745905,-0.516112927310045
"14",13,"Andreas KOLB",-0.104518457501138,0.789645712654989
"15",14,"Andreas SIEBER",-0.325827476839263,-0.0294225709822729
"16",15,"Andreas STEFFEN",0.402710642241791,-0.327432726032505
"17",16,"Andrew NEETHLING",-0.131538044549764,-0.514980930762004
"18",17,"Andrew SHANDRO",0,0
"19",18,"Andy BÜELER",0,0
"20",19,"Andy YOONG",1.23472003644661,-0.480610446702779
"21",20,"Anita MOLCIK",0.32616654928224,-0.110882963333276
"22",21,"Anja REES-JONES",0.429077159192366,-0.548713485654927
"23",22,"Anneke BEERTEN",0,0
"24",23,"Antoine PIERRON",-0.22897555226591,-0.08778038700604
"25",24,"Antonio FERREIRO PAJUELO",0,0
"26",25,"Antonín KRÁL",0,0
"27",26,"April LAWYER",-0.498418291935062,-0.195837048437606
"28",27,"Arnelie THÉVOZ",-0.317148329410206,1.93314332865752
"29",28,"Aurélien GIORDANENGO",0.497810985188603,-0.398602384644795
"30",29,"Baptiste PIERRON",-0.322871128033658,0.139615169840765
"31",30,"Bas DE BEVER",0,0
"32",31,"Basil WEBER",0.391740222548424,-0.261818062357204
"33",32,"Ben CATHRO",2.84088257211702,-0.306366750813416
"34",33,"Ben REID",1.1296413971317,-0.693755180024247
"35",34,"Benjamin ZWAR KVIST",0,0
"36",35,"Benny STRASSER",0,0
"37",36,"Benoît COULANGES",0.735521988944832,-0.368786603054978
"38",37,"Bernard KERR",-0.437830088481257,0.336517768607174
"39",38,"Bernardita PIZARRO",0,0
"40",39,"Bernat GUÀRDIA PASCUAL",0.152757020088908,0.152757020088908
"41",40,"Boris TETZLAFF",2.24239977116051,-0.527677771655659
"42",41,"Brendan FAIRCLOUGH",-0.538996761020348,-0.166807336246322
"43",42,"Brian LOPES",0.674375973238333,-0.0596532044346245
"44",43,"Brook MACDONALD",0,0
"45",44,"Bruce KLEIN",1.27556743762442,-0.451809880920151
"46",45,"Bruno ZANCHI",-0.411926615811105,-0.0629007128341228
"47",46,"Bryan PFEIFFER",2.67918272727303,-0.668003004476561
"48",47,"Bryn ATKINSON",0.157167681298964,0.157167681298964
"49",48,"Bryn DICKERSON",0,0
"50",49,"Cam COLE",0,0
"51",50,"Camille BALANCHE",-0.454342332217487,-0.154338772086915
"52",51,"Carina CAPPELLARI",0.436340513982353,-0.105569569653097
"53",52,"Carlo CAIRE",0.343567994828498,-0.270876500978674
"54",53,"Carlo GAMBIRASIO",0.712464854613925,-0.318765542949796
"55",54,"Caroline SAX",-0.264953697306011,-0.44572248463064
"56",55,"Casey BROWN",0,0
"57",56,"Cesar ROJO VIDAL",-0.334236212366257,-0.334236212366257
"58",57,"Charlie HARRISON",1.38669069829606,-0.0789693267184329
"59",58,"Charlie HATTON",0.76872948477003,-0.51015585840461
"60",59,"Charly DI PASQUALE",0.0119430348251643,-0.124215759355001
"61",60,"Chris BALL",0.712464854613925,-0.0452256714359596
"62",61,"Chris KOVARIK",-0.407759667791907,0.150874782877389
"63",62,"Chris O'DRISCOLL",0.434179850029517,-0.53834221067409
"64",63,"Christian TAILLEFER",0.154282571255879,-0.416753876953245
"65",64,"Claire BUCHAR",0,0
"66",65,"Claudio CALUORI",-0.402152155240607,0.165649006242683
"67",66,"Claudio COZZI",0.666822689656527,-0.335339829447497
"68",67,"Cody WARREN",0.454221764306497,-0.286622751854244
"69",68,"Colin BAILEY",0.635621237617225,-0.401423255268179
"70",69,"Connor FEARON",0.21313601458177,0.00962872192510411
"71",70,"Constantin RUETSCH",1.01219404568001,-0.503030037213904
"72",71,"Corrado HERIN",-0.0382719542450763,-0.483173692581101
"73",72,"Crawford CARRICK-ANDERSON",0.145544425836106,-0.414371662345077
"74",73,"Curtis KEENE",1.92477596165919e-05,-0.152131307754087
"75",74,"Cyril LAGNEAU",-0.144512331438181,-0.144512331438181
"76",75,"Cyrille KURTZ",0.274731236234337,1.28139475344182
"77",76,"Cédric GRACIA",0.18790640022181,-0.179800070593269
"78",77,"Céline GROS",0.645922579559133,0.162261058862045
"79",78,"Dakotah NORTON",-0.0936633895632512,0.809855530448685
"80",79,"Damien MERMOUD",-0.421209285252708,1.09471410819122
"81",80,"Damien SPAGNOLO",0.0790896804514243,-0.325074369939659
"82",81,"Dan ATHERTON",0.154828816754015,-0.213175270515361
"83",82,"Dan CRITCHLOW",0.0809623678981743,-0.335689016234908
"84",83,"Dan STANBRIDGE",0.734097113125136,0.102107088755893
"85",84,"Daniela BOSSARD",-0.347180685808074,1.06659788293361
"86",85,"Danny HART (elt)",0.524613220730797,-0.526731839068629
"87",86,"David SMITH (exp)",0.109411653677719,0.130784658407568
"88",87,"David TRUMMER",0.38700888310594,-0.160712477994378
"89",88,"David VAZQUEZ LOPEZ",0.236351638584207,-0.239704798963955
"90",89,"David WARDELL",0.491044377065475,-0.129773762267325
"91",90,"David WATSON",0.867714545317435,-0.192486301092176
"92",91,"Davide PALAZZARI",0.227282631802759,-0.105494019850972
"93",92,"Dean LUCAS",0.235596362826902,-0.00978996858427417
"94",93,"Dennis DERTELL",0,0
"95",94,"Diana MARGGRAFF",0,0
"96",95,"Dominik GSPAN",0.175631865305861,-0.281587375813212
"97",96,"Douglas VIEIRA",0,0
"98",97,"Duncan RIFFLE",-0.441979114088169,-0.137135218452631
"99",98,"Dylan LEVESQUE",-0.314934582210446,-0.0748593880840493
"100",99,"Ed MOSELEY",0.18246298069037,0.18246298069037
"101",100,"Eddie MASTERS",0,0
"102",101,"Edgar CARBALLO GONZALEZ",0,0
"103",102,"Eleonora FARINA",0.209414446728347,-0.0871208954906513
"104",103,"Eliot JACKSON",-0.434939235581587,-0.190283687735027
"105",104,"Elisa CANEPA",-0.293086648664168,1.1541615242205
"106",105,"Elke BRUTSAERT",-0.170577071527039,-0.474707352198498
"107",106,"Emanuel POMBO",2.31851496226859,-0.50242663772112
"108",107,"Emilie SIEGENTHALER",0.624755961868009,1.31044294907683
"109",108,"Emmeline RAGOT",0.097622202699492,0.097622202699492
"110",109,"Emyr DAVIES",-0.382439845223322,0.368418446199459
"111",110,"Eric CARTER",0.502089612980587,-0.380423663964028
"112",111,"Erik IRMISCH",0,0
"113",112,"Espen JOHNSEN",0.84873927468162,-0.294129374353003
"114",113,"Esteban DERONZIER",1.14727788851057,-0.458129928390237
"115",114,"Fabien BAREL",1.54588224664059,-0.307005035063203
"116",115,"Fabien COUSINIE",0.480834832133871,0.0377987567304037
"117",116,"Fabien PEDEMANAUD",-0.481060542667762,0.693317748795258
"118",117,"Faustin FIGARET",0.271306111403619,-0.190078102799401
"119",118,"Felix KLEE",1.00160714622551,-0.698296440576095
"120",119,"Fergus LAMB",1.91179108849173,-0.248247980065776
"121",120,"Filip POLC",0.687282363094467,-0.58909871912954
"122",121,"Finn ILES",0,0
"123",122,"Fionn GRIFFITHS",-0.144425192780945,0.546913015644074
"124",123,"Florent PAYET",0.655824020855596,0.655824020855596
"125",124,"Floriane PUGIN",-0.367669815312831,-0.0262568150597731
"126",125,"Forrest RIESCO",0,0
"127",126,"Francesco COLOMBO",0.0766297618833076,-0.254575473830217
"128",127,"Francesco Danilo PETRUCCI",1.11314019254402,-0.52677063096505
"129",128,"Francisco PARDAL",0,0
"130",129,"Frank SCHNEIDER",0.420470630435922,0.420470630435922
"131",130,"Fraser MCGLONE",2.25765421464432,-0.673034196664441
"132",131,"Frida Helena RØNNING",0,0
"133",132,"Gaetan RUFFIN",0.647422376513164,-0.365832666128182
"134",133,"Gaetan VIGE",-0.400555303947346,1.9026203609746
"135",134,"Gareth BREWIN",1.01696488353461,-0.62749100282732
"136",135,"Gee ATHERTON",0.537806047253352,-0.299911726403066
"137",136,"George BRANNIGAN",0,0
"138",137,"George GANNICOTT",1.67741345573546,-0.38725695695683
"139",138,"Gertje THOLEN",0,0
"140",139,"Gerwin PETERS",0,0
"141",140,"Gianluca BONANOMI",-0.407865518699759,1.2581902390655
"142",141,"Gianluca VERNASSA",0.764370860411594,-0.210053066396838
"143",142,"Giovanna BONAZZI",0.156806830678256,0.156806830678256
"144",143,"Glyn O'BRIEN",-0.147110792184914,3.02495913244088
"145",144,"Graeme MUDD",0.6034604607505,-0.516112927310045
"146",145,"Greg MINNAAR",1.46486831765958,0.110312774023665
"147",146,"Greg WILLIAMSON",1.77855887246325,-0.468985263286867
"148",147,"Guido TSCHUGG",0.437412140094563,0.437412140094563
"149",148,"Guillaume CAUVIN",0.273972291646114,-0.159129719516059
"150",149,"Guillaume KOCH",-0.341483906320897,-0.341483906320898
"151",150,"Harriet RUECKNAGEL",0,0
"152",151,"Harry HEATH",-0.296656438565873,0.327740678779868
"153",152,"Harry MOLLOY",0.173070214013969,0.233667938895019
"154",153,"Helen GASKELL",0.709679849337085,-0.312131665967756
"155",154,"Helen MORTIMER",-0.197077596572887,0.847911812299234
"156",155,"Helena BOSKOVA",-0.441169603748723,0.789451695376915
"157",156,"Helena KURANDOVA",0,0
"158",157,"Helene Valerie FRUHWIRTH",-0.170577071527039,1.68681238377952
"159",158,"Henry FITZGERALD",0,0
"160",159,"Henry KERR",-0.19634689349369,0.74444620593864
"161",160,"Herman ÖLUND",0,0
"162",161,"Himar SANCHEZ SALMINEN",-0.423324860189456,0.671138834851897
"163",162,"Hugo FRIXTALON",0.135878498168509,-0.375158993386234
"164",163,"Isak LEIVSSON",0.418357211548521,-0.281587375813212
"165",164,"Ivan OULEGO MORENO",-0.512280480973619,-0.512280480973619
"166",165,"Jack MOIR",0.215581246982185,-0.462492176889948
"167",166,"Jack READING",0.51938167548418,-0.337500124404687
"168",167,"Jackson FREW",0,0
"169",168,"Jacob DICKSON",-0.495272376374563,-0.339479988594167
"170",169,"Jacqueline HARMONY",1.26360536652264,-0.366350456096327
"171",170,"Jan LUNDMAN",-0.192284133640071,-0.192284133640071
"172",171,"Jana BARTOVA",0,0
"173",172,"Janis LEHMANN",2.42783012569284,-0.818994826565741
"174",173,"Jared GRAVES",0.829608768118004,-0.202071742666005
"175",174,"Jared RANDO",1.86368891156012,-0.314043675417919
"176",175,"Jasper JAUCH",0,0
"177",176,"Jay WILLIAMSON",0.52980532067013,-0.499607992579663
"178",177,"Jaymie MART",0,0
"179",178,"Jess STONE",-0.0513904556516014,-0.115573667003861
"180",179,"Jill KINTNER",-0.462894684451937,0.53302901881729
"181",180,"Joanna PETTERSON",1.03076078968063,-0.366556846630287
"182",181,"Joe BARNES (mas)",0.0250924257917682,-0.40854745800692
"183",182,"Joe BREEDEN",-0.367458239448193,1.65228342103467
"184",183,"Joe CONNELL",0.137582560997732,-0.445577682387679
"185",184,"Joe SMITH (elt)",3.17138728281016,-0.542871746676254
"186",185,"Johan ENGSTRÖM",-0.192066204432581,-0.192066204432581
"187",186,"Johann POTGIETER",1.82450017706038,-0.767025340356013
"188",187,"Johannes FISCHBACH",0,0
"189",188,"Johannes VON KLEBELSBERG",0.341447105924311,-0.309519748522677
